Estudi,Curs acadèmic,Alumne,Sexe,Assignatura,Codi assignatura,Nota_assignatura
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Enginyeria de Dades,106565,9.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Fonaments de Computació,106555,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Fonaments de Programació I,106553,8.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Fonaments de Programació II,106554,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Fonaments Matemàtics I,106550,8.6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Fonaments Matemàtics II,106551,7.1
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Introducció a la IA,106558,8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Lògica Computacional,106569,9.8
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Probabilitat i Estadística,106552,9.9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,5AABEAD96C0EDC0F75750AC457D84E81,Home,Processos Cognitius,106577,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,FA5743F592288987FACE9B63831EC5F6,Dona,Introducció a la IA,106558,6
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,FA5743F592288987FACE9B63831EC5F6,Dona,Lògica Computacional,106569,7.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,09A97E8929D95EEEFF9F04ED9D6A345D,Home,Fonaments de Programació I,106553,9.5
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,09A97E8929D95EEEFF9F04ED9D6A345D,Home,Fonaments de Programació II,106554,9.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,09A97E8929D95EEEFF9F04ED9D6A345D,Home,Fonaments Matemàtics I,106550,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,09A97E8929D95EEEFF9F04ED9D6A345D,Home,Fonaments Matemàtics II,106551,7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Enginyeria de Dades,106565,6.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Fonaments de Computació,106555,7.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Fonaments de Programació I,106553,6.3
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Lògica Computacional,106569,6.4
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Probabilitat i Estadística,106552,9
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,BAAE0761D84465BB88A47F3043AD0A46,Home,Processos Cognitius,106577,6.7
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Enginyeria de Dades,106565,8.2
Graduat en Intel·ligència Artificial / Artificial Intelligence,2021/22,108ECED8A2C18E957593A289D24D619D,Dona,Fonaments de Computació,106555,6.2
