estudi,curs_academic,id_anonim,sexe,curs_academic_acces_estudi,via_acces_estudi,nota_d_acces_preinscripcio,dedicacio_de_l_estudiant,s_n_discapacitat,beca_concedida,estudis_mare,estudis_pare,taxa_exit
Graduat En Enginyeria Informàtica,2020/21,1Dfb71F2B000D1421808D0B3F67B335E,Home,2020/21,Batx. / Cou Amb Pau,10.798,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,0.0
Graduat En Enginyeria Informàtica,2020/21,C26Bd2D93Ecb81Ccb559D5B01B51475B,Home,2016/17,Batx. / Cou Amb Pau,6.512,Temps Variable,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,56.0
Graduat En Enginyeria Informàtica,2020/21,7526Fb10E35C2E8808213E923F8F6125,Home,2020/21,Universitaris Batx. / Cou Amb Pau,11.468,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,Fe20Eba7Dc6B312D1F2Fea0A76D8E32D,Home,2016/17,Universitaris Batx. / Cou Amb Pau,10.102,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,22F995020F697929585Bbadac92Cab20,Home,2020/21,Universitaris Batx. / Cou Amb Pau,10.87,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,77.0
Graduat En Enginyeria Informàtica,2020/21,F01Eac8B34E7B6A1Bcf2015Ce188D898,Home,2020/21,Batx. / Cou Amb Pau,10.11,Temps Variable,N,Sí,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,35.0
Graduat En Enginyeria Informàtica,2020/21,F4537A70Eeeafbae2094F3Ad4A203F24,Home,2019/20,Batx. / Cou Amb Pau,8.252,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,60.0
Graduat En Enginyeria Informàtica,2020/21,88929Dfba9043020301B6869Ba1F932F,Home,2020/21,"Fp2, Cfgs",8.996,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,Ea0E3B57Cb88319E84D9C3Ff9F677Bee,Dona,2017/18,Batx. / Cou Amb Pau,7.438,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,C6De4045Bb4982D636E9Ff566E88Cc4B,Home,2018/19,"Fp2, Cfgs",8.216,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,91A5Ca634064C9D404C5F5Ffa5D1F81C,Home,2017/18,Batx. / Cou Amb Pau,7.66,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Fdb1556Adb28E0Eebeaf6A12Fd41550E,Home,2019/20,Batx. / Cou Amb Pau,8.274,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,Bb30759B938A8E8Af46C5Cde36F6182D,Home,2018/19,Batx. / Cou Amb Pau,10.114,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,9068Ec5Acfd7D29277C3C4A84C4392F7,Home,2020/21,Batx. / Cou Amb Pau,9.104,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,85.0
Graduat En Enginyeria Informàtica,2020/21,3E72F5Ae675Dc9C9D1Ab6E3345192322,Dona,2017/18,Batx. / Cou Amb Pau,6.96,Temps Variable,N,Sí,Estudis Primaris,Egb O Fp 1Er Grau,71.0
Graduat En Enginyeria Informàtica,2020/21,B00D385B35Cedafd7B69Dd3C9A70734A,Dona,2012/13,Batx. / Cou Amb Pau,6.376,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,4Bf7A4Caa155952F967292751008Cfbf,Home,2019/20,Batx. / Cou Amb Pau,9.362,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,26D5618Ff762D05E9D1D1565920B3Ac3,Home,2020/21,Batx. / Cou Amb Pau,9.066,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,20.0
Graduat En Enginyeria Informàtica,2020/21,436979Fd42239E732Ca74870570Ac2F9,Home,2017/18,"Fp2, Cfgs",8.373,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Ad038D02Cf53Dc258Fd828E09353C75D,Home,2019/20,Batx. / Cou Amb Pau,8.102,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,72.0
Graduat En Enginyeria Informàtica,2020/21,Add3C0156Ae81E1985D8Eeb28Bed63D3,Home,2017/18,"Fp2, Cfgs",6.92,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,67E7163Bd055Be898235D6277Bf2762F,Home,2018/19,Batx. / Cou Amb Pau,11.11,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,79Dcc031D42B367117E10Ca0E611F6E3,Home,2019/20,Batx. / Cou Amb Pau,10.002,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,2463B245Ac186Af04600724E6656D0D1,Home,2017/18,Batx. / Cou Amb Pau,10.62,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,F0Bce037Bdaa483864D5C4Dcbc018Dc1,Home,2020/21,Batx. / Cou Amb Pau,12.259,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,89.0
Graduat En Enginyeria Informàtica,2020/21,9D49B74620Ab047Cb32384D0A325Db54,Home,2017/18,Batx. / Cou Amb Pau,10.05,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,78.0
Graduat En Enginyeria Informàtica,2020/21,3D4412F914D261Ca0C99101F5277804B,Home,2016/17,Batx. / Cou Amb Pau,7.07,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,793Cf8F9C4D509E045683F384Ea5A33A,Home,2012/13,Batx. / Cou Amb Pau,6.09,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,5148F0649Cf0Ead9D96B989250D46Fa1,Home,2018/19,Universitaris Fp2 / Cfgs,7.909,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,31.0
Graduat En Enginyeria Informàtica,2020/21,6B812F14E297E4Aad4Cc0D6B6E84F2D9,Home,2019/20,"Fp2, Cfgs",6.21,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,79.0
Graduat En Enginyeria Informàtica,2020/21,1E6Aed16F77D8A3000Fd2934E18B79Fe,Dona,2020/21,Batx. / Cou Amb Pau,11.072,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,543339F552E0B0E988D8Bbbd6465185B,Home,2020/21,Sense Assignar,0.0,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,47.0
Graduat En Enginyeria Informàtica,2020/21,30137726211509852Caf731Fbffd77C0,Home,2016/17,Universitaris Batx. / Cou Amb Pau,8.166,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Sense Assignar,86.0
Graduat En Enginyeria Informàtica,2020/21,Dc9087Af50B32599Ca2D007Cebbd86Ae,Home,2019/20,Batx. / Cou Amb Pau,8.18,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,92.0
Graduat En Enginyeria Informàtica,2020/21,77Fe504219Fb0E55354407F713794Ac9,Dona,2019/20,Batx. / Cou Amb Pau,9.55,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,100.0
Graduat En Enginyeria Informàtica,2020/21,4D28591390C2751D70507Dc75Df5F740,Dona,2019/20,Batx. / Cou Amb Pau,7.876,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,40.0
Graduat En Enginyeria Informàtica,2020/21,79D34F536882Cefc0A362Ba7D24D3374,Home,2018/19,Batx. / Cou Amb Pau,10.424,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,8A0024616279A6458Fafeb70D0097E29,Home,2019/20,Batx. / Cou Amb Pau,10.502,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,80.0
Graduat En Enginyeria Informàtica,2020/21,4C154Da445B2Bd6495627A8Dd590D2Fc,Home,2020/21,"Fp2, Cfgs",9.276,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,65.0
Graduat En Enginyeria Informàtica,2020/21,1Fdae19E9797228E67Dde7Bd40272C43,Home,2018/19,"Fp2, Cfgs",7.574,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,56.0
Graduat En Enginyeria Informàtica,2020/21,63397Dc3D8C8C9395Cdfdc811409E0Be,Home,2020/21,Batx. / Cou Amb Pau,9.004,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,70.0
Graduat En Enginyeria Informàtica,2020/21,Da363B623Ca19Ab3Bb048Df3Ffe06B9C,Home,2016/17,Batx. / Cou Amb Pau,7.122,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,30278E0F8Ec87Ae905B2Ab401F617D6F,Home,2020/21,Sense Assignar,0.0,Sense Assignar,N,No,Sense Assignar,Sense Assignar,100.0
Graduat En Enginyeria Informàtica,2020/21,14429Da68300Db93Bf88B1472E141F58,Home,2020/21,Batx. / Cou Amb Pau,10.118,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,14.0
Graduat En Enginyeria Informàtica,2020/21,F661A5A7Eb85E89Ec618Fbfc98F11E1F,Home,2016/17,"Fp2, Cfgs",8.235,Temps Variable,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,7174E807126546C40C58Aa0453E761A7,Home,2016/17,"Fp2, Cfgs",7.588,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,63.0
Graduat En Enginyeria Informàtica,2020/21,8847C289026C0C7Ba98D7285Bdd7774C,Home,2019/20,Batx. / Cou Amb Pau,8.416,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,18Aba72A1Fdb59B0524D1F92C3Cf7Cbf,Home,2018/19,Batx. / Cou Amb Pau,9.352,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
