start date,start time,end date,end time,unk,class Id,Estudi,Codi_Ass + Assignatura,grup matricula
09/09/2024,08:30,09/09/2024,10:30,2,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,39
09/09/2024,08:30,09/09/2024,10:30,2,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 410,82
09/09/2024,08:30,09/09/2024,10:30,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 431,42
09/09/2024,08:30,09/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 450,99
09/09/2024,08:30,09/09/2024,10:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 41,68
09/09/2024,08:30,09/09/2024,10:30, ,Q4/1003,10062 Enginyeria Informàtica,105075 Internet de les Coses - 410,38
09/09/2024,08:30,09/09/2024,10:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 431,34
09/09/2024,09:30,09/09/2024,10:30,1,Q4/1005,10062 Enginyeria Informàtica,103801 Àlgebra - 432,Sense grup de matricula
09/09/2024,09:30,09/09/2024,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 432,Sense grup de matricula
09/09/2024,10:30,09/09/2024,11:30, ,Q4/1003,10062 Enginyeria Informàtica,"102786 Coneixement, Raonament i Incertesa - 442",Sense grup de matricula
09/09/2024,10:30,09/09/2024,11:30, ,Q1/1007,10062 Enginyeria Informàtica,103801 Àlgebra - 411,Sense grup de matricula
09/09/2024,10:30,09/09/2024,11:30, ,Q4/1005,10062 Enginyeria Informàtica,105075 Internet de les Coses - 411,Sense grup de matricula
09/09/2024,10:30,09/09/2024,11:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 431,Sense grup de matricula
09/09/2024,10:30,09/09/2024,11:30,1,Q4/1013,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 441,Sense grup de matricula
09/09/2024,10:30,09/09/2024,12:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 412,38
09/09/2024,10:30,09/09/2024,12:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 43,70
09/09/2024,10:30,09/09/2024,12:30, ,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 415,81
09/09/2024,10:30,09/09/2024,12:30, ,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 432,35
09/09/2024,10:30,09/09/2024,12:30, ,Q2/1005,10062 Enginyeria Informàtica,102744 Bases de Dades - 411,41
09/09/2024,11:30,09/09/2024,12:30,1,Q4/1005,10062 Enginyeria Informàtica,105075 Internet de les Coses - 412,Sense grup de matricula
09/09/2024,11:30,09/09/2024,12:30, ,Q4/1013,10062 Enginyeria Informàtica,"102786 Coneixement, Raonament i Incertesa - 441",Sense grup de matricula
09/09/2024,11:30,09/09/2024,12:30, ,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 412,Sense grup de matricula
09/09/2024,11:30,09/09/2024,12:30,1,Q4/1003,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 442,Sense grup de matricula
09/09/2024,12:30,09/09/2024,13:30, ,Q2/1013,10062 Enginyeria Informàtica,103801 Àlgebra - 431,Sense grup de matricula
09/09/2024,12:30,09/09/2024,13:30, ,Q3/0013,10062 Enginyeria Informàtica,103801 Àlgebra - 412,Sense grup de matricula
09/09/2024,12:30,09/09/2024,13:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 411,Sense grup de matricula
09/09/2024,12:30,09/09/2024,14:30,2,QC/0011,10062 Enginyeria Informàtica,105072 Tecnologia Blockchain i Criptomonedes - 450,20
