estudi,curs_academic,sexe,nota_assignatura,via_acces_estudi,nota_d_acces,dedicacio_de_l_estudiant,discapacitat,beca_concedida,estudis_mare,estudis_pare,taxa_exit,abandonament,dificultat_assignatura
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,5.894708994708995
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,4.442031523642732
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,5.962274959083469
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,7.083763837638377
1,0,0,0.1,0,10.798,0,0,0,1,1,0.0,1,6.069509251810136
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,4.6163446054750406
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,4.229661016949152
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,4.358823529411765
1,0,0,0.0,0,10.798,0,0,0,1,1,0.0,1,3.4967350037965073
1,0,0,6.8,0,6.512,1,0,1,3,3,1.0,0,6.156778523489933
1,0,0,8.3,0,6.512,1,0,1,3,3,1.0,0,6.150130548302872
1,0,0,3.0,0,6.512,1,0,1,3,3,1.0,0,5.704055415617129
1,0,0,8.3,0,6.512,1,0,1,3,3,1.0,0,6.316230366492147
1,0,0,6.1,0,6.512,1,0,1,3,3,1.0,0,5.550981912144703
1,0,0,6.0,0,6.512,1,0,1,3,3,1.0,0,5.7402020202020205
1,0,0,1.2,0,6.512,1,0,1,3,3,1.0,0,5.02434554973822
1,0,0,3.3,0,6.512,1,0,1,3,3,1.0,0,4.687257617728531
1,0,0,4.5,0,6.512,1,0,1,3,3,1.0,0,5.889673913043478
1,0,0,8.1,1,11.468,0,0,1,6,6,1.0,1,5.894708994708995
1,0,0,8.0,1,11.468,0,0,1,6,6,1.0,1,4.442031523642732
1,0,0,9.2,1,11.468,0,0,1,6,6,1.0,1,5.962274959083469
1,0,0,8.9,1,11.468,0,0,1,6,6,1.0,1,7.083763837638377
1,0,0,8.5,1,11.468,0,0,1,6,6,1.0,1,6.069509251810136
1,0,0,7.6,1,11.468,0,0,1,6,6,1.0,1,4.6163446054750406
1,0,0,8.4,1,11.468,0,0,1,6,6,1.0,1,4.229661016949152
1,0,0,9.9,1,11.468,0,0,1,6,6,1.0,1,4.358823529411765
1,0,0,7.5,1,11.468,0,0,1,6,6,1.0,1,3.4967350037965073
1,0,0,0.0,1,10.102,1,0,1,8,8,1.0,0,2.598611111111111
1,0,0,7.8,1,10.102,1,0,1,8,8,1.0,0,7.819086651053865
