Id Anonim PD,Categoria,Edat,Sexe,S/N Doctor,Dedicació Temps complet S/N,Antiguitat a la UAB (dies)
002E493D80C22C612D36EA8235F9B86D,CATEDRATIC/A D'UNIVERSITAT,55,Home,S,S,11504
017D89A1034F134745FF4E97172B91BB,PROFESSOR/A ASSOCIAT/ADA LABORAL,24,Home,N,N,197
02C466C2584DDF17501FE40304F8B7C1,PROFESSOR/A ASSOCIAT/ADA LABORAL,40,Home,S,N,6657
02E224A227567E5BEC151AE71B0B0D35,PROFESSOR/A ASSOCIAT/ADA LABORAL,53,Home,N,N,1865
03A65B3C5A3FE86A12A076CC17667268,PROFESSOR/A TITULAR D'UNIVERSITAT,56,Home,S,S,12251
0ADA329A3667D681AD9C64646C3C677F,PROFESSOR/A LECTOR/A,42,Home,S,S,211
0B0E723901E596DA2491467DF467C3C8,PROFESSOR/A TITULAR D'UNIVERSITAT,58,Home,S,S,12965
0BC6D43C6E4515E36D3A9BC18D199348,PROFESSOR/A ASSOCIAT/ADA LABORAL,42,Home,S,N,158
0D9B5ACA2944CF4E6E1633C2224D4BB8,PROFESSOR/A ASSOCIAT/ADA LABORAL,47,Home,N,N,789
0DD96C41F46691961F0EB1B93362DB51,PROFESSOR/A ASSOCIAT/ADA LABORAL,66,Home,S,N,15887
0DDC82DE74441F745E943C925C9BFA89,PROFESSOR/A SUBSTITUT/A,47,Home,N,N,942
0EA29688D6B65B08A71583C223402CE6,PROFESSOR/A TITULAR D'UNIVERSITAT,65,Home,S,S,15157
0F7B23C6567B13DE49F5CFDC5FF99D62,INVESTIGADOR/A PROGRAMA RAMÓN Y CAJAL,49,Home,S,S,2980
0FC86FD5750C9F7A35477D4266AAB91B,CATEDRATIC/A D'UNIVERSITAT,58,Home,S,S,12965
1004A65EB3EE9DFFFCC04E1D700E93D3,INVESTIGADOR PREDOCTORAL FORMACIÓ,36,Dona,N,S,131
