Curs acadèmic,Estudi,Id Anònim PD,Codi_Ass,Assignatura,Hores professor Totals
2024/25,Graduat en Enginyeria Informàtica,11E3612FDA7917DA69180A56362AE0D3,102759,Disseny de Software,"59,47"
2024/25,Graduat en Enginyeria Informàtica,11E3612FDA7917DA69180A56362AE0D3,102763,Requisits del Software,"159,36"
2024/25,Graduat en Enginyeria Informàtica,1CAA6D7DD8058BA5F83676B69736AD5C,102775,Arquitectura de Computadors,"72,37"
2024/25,Graduat en Enginyeria Informàtica,1CAA6D7DD8058BA5F83676B69736AD5C,102777,Computació d'Altes Prestacions,"44,77"
2024/25,Graduat en Enginyeria Informàtica,F9EBA0BE6E36513431CA90B76C8BC1B9,102768,Intel·ligència Artificial,"152,74"
2024/25,Graduat en Enginyeria Informàtica,A9BFC41CACA3E8064463199E4BEE1F7B,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,2999CEB2D47E9E9201A6D45C24F64C1F,103801,Àlgebra,240
2024/25,Graduat en Enginyeria Informàtica,715B520CE71E9F861B2F84ACA14BBFFC,102740,Sistemes Distribuïts,"37,93"
2024/25,Graduat en Enginyeria Informàtica,247B4A60BD08DB83BF66C5DAAC2EED07,102776,Gestió i Administració de Xarxes,"65,54"
2024/25,Graduat en Enginyeria Informàtica,8848243A742218BDD516D5C9DD88129F,102771,Electricitat i Electrònica,"111,7"
2024/25,Graduat en Enginyeria Informàtica,02E224A227567E5BEC151AE71B0B0D35,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,9D34A094ECDE83BFBADDF8090A6F57FD,102742,Tecnologies de Desenvolupament per a Internet i web,"439,98"
2024/25,Graduat en Enginyeria Informàtica,0D9B5ACA2944CF4E6E1633C2224D4BB8,106542,Treball de Final de Grau,"47,08"
2024/25,Graduat en Enginyeria Informàtica,1004A65EB3EE9DFFFCC04E1D700E93D3,102771,Electricitat i Electrònica,"25,2"
2024/25,Graduat en Enginyeria Informàtica,44594C282E88CB29207C15BCD22C4830,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,2240D0FE1EADEB062A804BE07582B3DD,102775,Arquitectura de Computadors,"84,6"
2024/25,Graduat en Enginyeria Informàtica,2240D0FE1EADEB062A804BE07582B3DD,102774,Estructura de Computadors,"130,8"
2024/25,Graduat en Enginyeria Informàtica,2240D0FE1EADEB062A804BE07582B3DD,102793,Microprocessadors i Perifèrics,"48,26"
2024/25,Graduat en Enginyeria Informàtica,6A768D2C1D5098B68CDF3247B290519E,102772,Matemàtica Discreta,"185,42"
2024/25,Graduat en Enginyeria Informàtica,6A768D2C1D5098B68CDF3247B290519E,105073,Tecnologies de Compressió de la Informació,"61,43"
2024/25,Graduat en Enginyeria Informàtica,BA39122A95C5D521185AC9A2F4AEFC2F,102742,Tecnologies de Desenvolupament per a Internet i web,"26,95"
2024/25,Graduat en Enginyeria Informàtica,BA39122A95C5D521185AC9A2F4AEFC2F,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,F2588DD54957523926E3E878DE59867D,102764,Metodologia de la Programació,"251,25"
2024/25,Graduat en Enginyeria Informàtica,97B1AC47339018A3E432D8880091F22D,103806,Fonaments d'Informàtica,"238,25"
2024/25,Graduat en Enginyeria Informàtica,97B1AC47339018A3E432D8880091F22D,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,83123A2C1589A62C50704CE056D68905,102782,Compiladors,"79,44"
2024/25,Graduat en Enginyeria Informàtica,83123A2C1589A62C50704CE056D68905,102743,Enginyeria del Software,167
2024/25,Graduat en Enginyeria Informàtica,83123A2C1589A62C50704CE056D68905,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,83277085592785014B6F15381A3A1AA7,102760,Gestió de Projectes,"218,4"
2024/25,Graduat en Enginyeria Informàtica,92B7752F999AF86C8BEF4AF414D5D96E,102745,Legislació,"132,79"
2024/25,Graduat en Enginyeria Informàtica,793AB67FC278F5DB1DF3235990934DE2,102772,Matemàtica Discreta,"178,64"
2024/25,Graduat en Enginyeria Informàtica,1D4350430FF0623BDA2BD03320383C95,102749,Tecnologies Avançades d'Internet,"201,51"
2024/25,Graduat en Enginyeria Informàtica,7AABE0F99D413F0AA5CA70299A2B888A,103802,Càlcul,"129,9"
2024/25,Graduat en Enginyeria Informàtica,A4EE08038D8722BC938442F090D09A86,102745,Legislació,"35,4"
2024/25,Graduat en Enginyeria Informàtica,245AE6B7CA32B2C2B8B3B46EC7FA6AC8,102769,Informació i Seguretat,"216,88"
2024/25,Graduat en Enginyeria Informàtica,8FC6C55E1286828EF424CF6E4F4325A3,102775,Arquitectura de Computadors,"82,32"
2024/25,Graduat en Enginyeria Informàtica,8FC6C55E1286828EF424CF6E4F4325A3,102774,Estructura de Computadors,"90,14"
2024/25,Graduat en Enginyeria Informàtica,8FC6C55E1286828EF424CF6E4F4325A3,103806,Fonaments d'Informàtica,"53,73"
2024/25,Graduat en Enginyeria Informàtica,60854D4660A5483A316BE59C9BEACEF2,102783,Anàlisi i Disseny d'Algorismes,"83,04"
2024/25,Graduat en Enginyeria Informàtica,355BF370C720D010740F993195266B4E,103802,Càlcul,"129,9"
2024/25,Graduat en Enginyeria Informàtica,7568D1467F6D16A24668D92628FD7283,102771,Electricitat i Electrònica,"102,42"
2024/25,Graduat en Enginyeria Informàtica,AA472730F49E03D8105C30042F72E4B4,103801,Àlgebra,"32,95"
