Id Anònim PD,Tram Docència/Recerca,S/N Tram Viu
9D34A094ECDE83BFBADDF8090A6F57FD,Docència,N
9D34A094ECDE83BFBADDF8090A6F57FD,Recerca,N
9D34A094ECDE83BFBADDF8090A6F57FD,Docència,S
9D34A094ECDE83BFBADDF8090A6F57FD,Recerca,S
44594C282E88CB29207C15BCD22C4830,Docència,N
44594C282E88CB29207C15BCD22C4830,Recerca,N
44594C282E88CB29207C15BCD22C4830,Docència,S
6A768D2C1D5098B68CDF3247B290519E,Docència,N
6A768D2C1D5098B68CDF3247B290519E,Recerca,N
6A768D2C1D5098B68CDF3247B290519E,Docència,S
6A768D2C1D5098B68CDF3247B290519E,Recerca,S
97B1AC47339018A3E432D8880091F22D,Docència,N
97B1AC47339018A3E432D8880091F22D,Recerca,N
97B1AC47339018A3E432D8880091F22D,Docència,S
83123A2C1589A62C50704CE056D68905,Docència,N
83123A2C1589A62C50704CE056D68905,Recerca,N
83123A2C1589A62C50704CE056D68905,Docència,S
83123A2C1589A62C50704CE056D68905,Recerca,S
83277085592785014B6F15381A3A1AA7,Docència,N
83277085592785014B6F15381A3A1AA7,Recerca,N
83277085592785014B6F15381A3A1AA7,Docència,S
83277085592785014B6F15381A3A1AA7,Recerca,S
92B7752F999AF86C8BEF4AF414D5D96E,Docència,N
92B7752F999AF86C8BEF4AF414D5D96E,Docència,S
92B7752F999AF86C8BEF4AF414D5D96E,Recerca,S
793AB67FC278F5DB1DF3235990934DE2,Docència,N
793AB67FC278F5DB1DF3235990934DE2,Recerca,N
793AB67FC278F5DB1DF3235990934DE2,Docència,S
1D4350430FF0623BDA2BD03320383C95,Docència,N
1D4350430FF0623BDA2BD03320383C95,Recerca,N
1D4350430FF0623BDA2BD03320383C95,Docència,S
1D4350430FF0623BDA2BD03320383C95,Recerca,S
7AABE0F99D413F0AA5CA70299A2B888A,Docència,N
7AABE0F99D413F0AA5CA70299A2B888A,Recerca,N
A4EE08038D8722BC938442F090D09A86,Docència,N
A4EE08038D8722BC938442F090D09A86,Docència,S
AA472730F49E03D8105C30042F72E4B4,Docència,N
AA472730F49E03D8105C30042F72E4B4,Recerca,N
AA472730F49E03D8105C30042F72E4B4,Docència,S
9F42511737ECEB930E5F4DAF7893C427,Docència,N
9F42511737ECEB930E5F4DAF7893C427,Recerca,N
9F42511737ECEB930E5F4DAF7893C427,Docència,S
9F42511737ECEB930E5F4DAF7893C427,Recerca,S
4EF71CA1BA5C9EE8365B0315956BACA9,Docència,N
4EF71CA1BA5C9EE8365B0315956BACA9,Recerca,N
4EF71CA1BA5C9EE8365B0315956BACA9,Docència,S
4EF71CA1BA5C9EE8365B0315956BACA9,Recerca,S
C52849557B69B4D05DD327B33BF4D840,Docència,N
C52849557B69B4D05DD327B33BF4D840,Docència,S
C52849557B69B4D05DD327B33BF4D840,Recerca,S
975055552CE7ABB4C1A82D967434850E,Docència,N
975055552CE7ABB4C1A82D967434850E,Recerca,N
975055552CE7ABB4C1A82D967434850E,Docència,S
975055552CE7ABB4C1A82D967434850E,Recerca,S
28ED3995F95AF51F2A41460ED0BE12FC,Docència,N
28ED3995F95AF51F2A41460ED0BE12FC,Recerca,N
28ED3995F95AF51F2A41460ED0BE12FC,Docència,S
28ED3995F95AF51F2A41460ED0BE12FC,Recerca,S
568E08A6C5B529E10017C974E52E29B7,Docència,S
6E056F2C84928F878649E23C352201AB,Docència,N
6E056F2C84928F878649E23C352201AB,Recerca,N
6E056F2C84928F878649E23C352201AB,Docència,S
6E056F2C84928F878649E23C352201AB,Recerca,S
7A0ECF6B42F67191A6D11A27CC26A2DF,Docència,N
7A0ECF6B42F67191A6D11A27CC26A2DF,Recerca,N
7A0ECF6B42F67191A6D11A27CC26A2DF,Docència,S
7A0ECF6B42F67191A6D11A27CC26A2DF,Recerca,S
35546FE150214A15830166D1240BE2DB,Docència,N
35546FE150214A15830166D1240BE2DB,Recerca,N
35546FE150214A15830166D1240BE2DB,Docència,S
35546FE150214A15830166D1240BE2DB,Recerca,S
E864D301F94D76ED6DC7C7BAC141907B,Docència,N
E864D301F94D76ED6DC7C7BAC141907B,Recerca,N
E864D301F94D76ED6DC7C7BAC141907B,Docència,S
E864D301F94D76ED6DC7C7BAC141907B,Recerca,S
0EA29688D6B65B08A71583C223402CE6,Docència,N
0EA29688D6B65B08A71583C223402CE6,Recerca,N
0EA29688D6B65B08A71583C223402CE6,Recerca,S
9DB527EA34718388204DE56E0119F875,Docència,N
9DB527EA34718388204DE56E0119F875,Recerca,N
9DB527EA34718388204DE56E0119F875,Docència,S
9DB527EA34718388204DE56E0119F875,Recerca,S
34210F43B30A6631D913F704DA7BD37E,Docència,N
34210F43B30A6631D913F704DA7BD37E,Recerca,N
34210F43B30A6631D913F704DA7BD37E,Docència,S
34210F43B30A6631D913F704DA7BD37E,Recerca,S
B56A5A98C89071B56B328E4FA51CB9F9,Docència,N
B56A5A98C89071B56B328E4FA51CB9F9,Recerca,N
B56A5A98C89071B56B328E4FA51CB9F9,Docència,S
B56A5A98C89071B56B328E4FA51CB9F9,Recerca,S
5CC432CA3F54D647B60779A83D2BD101,Docència,N
5CC432CA3F54D647B60779A83D2BD101,Recerca,N
