PDI docència detall;;;;;
;;;;;
Data de les dades: 02/03/2025;;;;;
;;;;;
Curs acadèmic;Estudi;Id Anònim PD;Codi_Ass;Assignatura;Hores professor Totals
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;35A50006446C3C27784030A33B78E499;106590;Navegació Autònoma;25,30 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;F13EBA1CB1984F793950A9F33F51871C;106551;Fonaments Matemàtics II;111,00 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;F9EBA0BE6E36513431CA90B76C8BC1B9;106570;Resolució de Problemes;45,76 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;02E224A227567E5BEC151AE71B0B0D35;106562;Gestió de Projectes;96,78 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;C927F855791073CB9FA5B8264453FA21;106550;Fonaments Matemàtics I;128,50 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;C927F855791073CB9FA5B8264453FA21;106551;Fonaments Matemàtics II;163,24 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;131EFC68D196791FDB5E1EE8968649EE;106575;Aprenentatge Automàtic Avançat;112,00 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;83123A2C1589A62C50704CE056D68905;106581;Fonaments de la Visió per Computador;113,73 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;0FE5F848B22627985B63B8FFA63F83C4;106598;Innovació Social;55,62 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;5F6CF6812A0DC22771C945903F283DEE;106577;Processos Cognitius;88,11 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;9F42511737ECEB930E5F4DAF7893C427;106592;Acceleració de la Computació en IA;12,65 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;9350A3ED9834634A75E75CE346131524;106557;Programació Paral·lela;63,55 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;975055552CE7ABB4C1A82D967434850E;106575;Aprenentatge Automàtic Avançat;28,00 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;975055552CE7ABB4C1A82D967434850E;106574;Paradigmes d'Aprenentatge Automàtic;141,50 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;903B31BEDD6DD9591D308882A3E18E75;106561;Enginyeria de Software;140,00 
