PDI detall empleat;;;;;;
;;;;;;
Data de les dades: 23/03/2025;;;;;;
Mes: Març 2025;;;;;;
;;;;;;
Id Anonim PD;Categoria;Edat;Sexe;S/N Doctor;Dedicació Temps complet S/N;Antiguitat a la UAB (dies)
02E224A227567E5BEC151AE71B0B0D35;PROFESSOR/A ASSOCIAT/ADA LABORAL;53;Home;N;N;1865
0BC6D43C6E4515E36D3A9BC18D199348;PROFESSOR/A ASSOCIAT/ADA LABORAL;42;Home;S;N;158
0FC86FD5750C9F7A35477D4266AAB91B;CATEDRATIC/A  D'UNIVERSITAT;58;Home;S;S;12965
0FE5F848B22627985B63B8FFA63F83C4;PROFESSOR/A ASSOCIAT/ADA LABORAL;29;Home;N;N;2394
131EFC68D196791FDB5E1EE8968649EE;PROFESSOR/A ASSOCIAT/ADA LABORAL;35;Home;N;N;211
13C42BF1F2E1837B541041EAB13C676A;PROFESSOR/A TITULAR D'UNIVERSITAT;51;Dona;S;S;6772
16266C6156A9FDA5BBD9EA9A566042BD;PROFESSOR/A TITULAR D'UNIVERSITAT;52;Home;S;S;8945
16AEB5D063DDA0F5F77AD6238190AFFF;AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A;47;Home;S;S;7137
22A57620FF59692385931F92B65ACA2D;PROFESSOR/A LECTOR/A;49;Dona;S;S;3703
274CFB17D77A1B23870A596077AA2C29;PROFESSOR/A ASSOCIAT/ADA LABORAL;66;Home;S;N;1284
28ED3995F95AF51F2A41460ED0BE12FC;PROFESSOR/A LECTOR/A;53;Home;S;S;9313
2958E8969031D036C8108323F7E04E07;PROFESSOR/A LECTOR/A;38;Home;S;S;1519
34A699C964A740FCA3E768F3C9CEB5EF;AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A;38;Dona;S;S;5478
35A50006446C3C27784030A33B78E499;PROFESSOR/A ASSOCIAT/ADA LABORAL;44;Home;S;N;211
3911D2DE3B7C4F45C96054AF8D30820F;PROFESSOR/A ASSOCIAT/ADA LABORAL;35;Home;S;N;197
39965AB303CCDBE167D2B768023A2653;PROFESSOR/A ASSOCIAT/ADA LABORAL;50;Home;S;N;942
3ADEDC262F84D0B2AA6DF8A3E6A7854F;PROFESSOR/A TITULAR D'UNIVERSITAT;52;Dona;S;S;10257
