start date,start time,end date,end time,class Id,Estudi,Codi_Ass,Id Anònim PD
09/09/2024,08:30,09/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102753,
09/09/2024,08:30,09/09/2024,10:30,Q4/0007,10062 Enginyeria Informàtica,102742,
09/09/2024,08:30,09/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102744,
09/09/2024,08:30,09/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102773,
09/09/2024,08:30,09/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,103806,
09/09/2024,08:30,09/09/2024,10:30,Q4/1003,10062 Enginyeria Informàtica,105075,
09/09/2024,08:30,09/09/2024,10:30,Q2/1005,10062 Enginyeria Informàtica,103805,
09/09/2024,09:30,09/09/2024,10:30,Q4/1005,10062 Enginyeria Informàtica,103801,
09/09/2024,09:30,09/09/2024,10:30,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,10:30,09/09/2024,11:30,Q4/1003,10062 Enginyeria Informàtica,102786,
09/09/2024,10:30,09/09/2024,11:30,Q1/1007,10062 Enginyeria Informàtica,103801,
09/09/2024,10:30,09/09/2024,11:30,Q4/1005,10062 Enginyeria Informàtica,105075,
09/09/2024,10:30,09/09/2024,11:30,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,10:30,09/09/2024,11:30,Q4/1013,10062 Enginyeria Informàtica,102787,
09/09/2024,10:30,09/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,103805,
09/09/2024,10:30,09/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,103806,
09/09/2024,10:30,09/09/2024,12:30,Q4/0007,10062 Enginyeria Informàtica,102742,
09/09/2024,10:30,09/09/2024,12:30,Q1/0019,10062 Enginyeria Informàtica,102744,
09/09/2024,10:30,09/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102744,
09/09/2024,11:30,09/09/2024,12:30,Q4/1005,10062 Enginyeria Informàtica,105075,
09/09/2024,11:30,09/09/2024,12:30,Q4/1013,10062 Enginyeria Informàtica,102786,
09/09/2024,11:30,09/09/2024,12:30,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,11:30,09/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102787,
09/09/2024,12:30,09/09/2024,13:30,Q2/1013,10062 Enginyeria Informàtica,103801,
09/09/2024,12:30,09/09/2024,13:30,Q3/0013,10062 Enginyeria Informàtica,103801,
09/09/2024,12:30,09/09/2024,13:30,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,12:30,09/09/2024,14:30,QC/0011,10062 Enginyeria Informàtica,105072,
09/09/2024,12:30,09/09/2024,14:30,Q5/1011,10062 Enginyeria Informàtica,102753,
09/09/2024,12:30,09/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,103805,
09/09/2024,12:30,09/09/2024,14:30,Q1/1003,10062 Enginyeria Informàtica,102763,
09/09/2024,12:30,09/09/2024,14:30,Q1/0019,10062 Enginyeria Informàtica,102744,
09/09/2024,12:30,09/09/2024,14:30,Q2/1005,10062 Enginyeria Informàtica,103805,
09/09/2024,15:00,09/09/2024,16:00,Q4/1013,10062 Enginyeria Informàtica,102747,
09/09/2024,15:00,09/09/2024,16:00,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,15:00,09/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102744,
09/09/2024,15:00,09/09/2024,17:00,Q4/0007,10062 Enginyeria Informàtica,102742,
09/09/2024,15:00,09/09/2024,17:00,Q3/0003,10062 Enginyeria Informàtica,103806,
09/09/2024,16:00,09/09/2024,18:00,Q1/0007,10062 Enginyeria Informàtica,102744,
09/09/2024,17:00,09/09/2024,18:00,Q2/1003,10062 Enginyeria Informàtica,103801,
09/09/2024,17:00,09/09/2024,18:00,Q3/0003,10062 Enginyeria Informàtica,103801,
09/09/2024,17:00,09/09/2024,18:00,Q3/0009,10062 Enginyeria Informàtica,102747,
09/09/2024,17:00,09/09/2024,19:00,Q4/0007,10062 Enginyeria Informàtica,102742,
09/09/2024,18:00,09/09/2024,20:00,Q2/1003,10062 Enginyeria Informàtica,103805,
10/09/2024,08:30,10/09/2024,09:30,Q3/0009,10062 Enginyeria Informàtica,103803,
10/09/2024,08:30,10/09/2024,09:30,Q2/1003,10062 Enginyeria Informàtica,102774,
10/09/2024,08:30,10/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102752,
10/09/2024,08:30,10/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,102771,
10/09/2024,08:30,10/09/2024,10:30,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,08:30,10/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102767,
10/09/2024,09:30,10/09/2024,10:30,Q2/1003,10062 Enginyeria Informàtica,103803,
10/09/2024,09:30,10/09/2024,10:30,Q3/0009,10062 Enginyeria Informàtica,102774,
10/09/2024,10:30,10/09/2024,11:30,Q2/1003,10062 Enginyeria Informàtica,102774,
10/09/2024,10:30,10/09/2024,11:30,Q2/1005,10062 Enginyeria Informàtica,102758,
10/09/2024,10:30,10/09/2024,11:30,Q3/0013,10062 Enginyeria Informàtica,102740,
10/09/2024,10:30,10/09/2024,11:30,Q3/0009,10062 Enginyeria Informàtica,103803,
10/09/2024,10:30,10/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102776,
10/09/2024,10:30,10/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,102771,
10/09/2024,10:30,10/09/2024,12:30,Q1/1007,10062 Enginyeria Informàtica,102787,
10/09/2024,10:30,10/09/2024,12:30,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,10:30,10/09/2024,12:30,Q4/1009,10062 Enginyeria Informàtica,102767,
10/09/2024,11:30,10/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,103803,
10/09/2024,11:30,10/09/2024,12:30,Q3/0013,10062 Enginyeria Informàtica,102740,
10/09/2024,11:30,10/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102758,
10/09/2024,11:30,10/09/2024,12:30,Q3/0009,10062 Enginyeria Informàtica,102774,
10/09/2024,12:30,10/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102767,
10/09/2024,12:30,10/09/2024,14:30,Q4/1013,10062 Enginyeria Informàtica,102762,
10/09/2024,12:30,10/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,12:30,10/09/2024,14:30,Q2/0013,10062 Enginyeria Informàtica,103806,
10/09/2024,15:00,10/09/2024,17:00,Q2/1013,10062 Enginyeria Informàtica,102771,
10/09/2024,15:00,10/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102767,
10/09/2024,15:00,10/09/2024,17:00,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,17:00,10/09/2024,18:00,Q3/0003,10062 Enginyeria Informàtica,103803,
10/09/2024,18:00,10/09/2024,19:00,Q3/0003,10062 Enginyeria Informàtica,102774,
11/09/2024,08:30,11/09/2024,09:30,Q4/1003,10062 Enginyeria Informàtica,102791,
11/09/2024,08:30,11/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102783,
11/09/2024,08:30,11/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102759,
11/09/2024,08:30,11/09/2024,10:30,Q3/0003,10062 Enginyeria Informàtica,102747,
11/09/2024,08:30,11/09/2024,10:30,Q2/1013,10062 Enginyeria Informàtica,102741,
11/09/2024,08:30,11/09/2024,10:30,QC/0011,10062 Enginyeria Informàtica,105073,
11/09/2024,08:30,11/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,103801,
