start date,start time,end date,end time,class Id,Codi_Ass,Assignatura,Id Anònim PD
09/09/2024,08:30,09/09/2024,10:30,Q5/1011,102753,Visualització Gràfica Interactiva,94460EBE3289387A86D97B4AA8EA6263
09/09/2024,08:30,09/09/2024,10:30,Q4/0007,102742,Tecnologies de Desenvolupament per a Internet i web,"267225E9993F8DE055B22122585EBF7B, 8D6D31442F1CA20D7E741B948948150E, 9D34A094ECDE83BFBADDF8090A6F57FD, AF8370971AD8F7EB19E92D3CEECEC960, BA39122A95C5D521185AC9A2F4AEFC2F, F18E24B875269B95455EC1BE0A0F6584"
09/09/2024,08:30,09/09/2024,10:30,Q1/0019,102744,Bases de Dades,"15DBB0DCB8B0AC5A43CB2351EF0D30E2, 57BEA5C8ACB66B4141E49FDA6DD1C5CA, DF7B5345352BA180BF61228EE58D40A6, F8048FAC833229318DB6870540F23B7B"
09/09/2024,08:30,09/09/2024,10:30,Q1/1007,102773,Fonaments de Tecnologia de la Informació,"34A699C964A740FCA3E768F3C9CEB5EF, 9499EECADAB18229A29ADA41AEA9E2B7"
09/09/2024,08:30,09/09/2024,10:30,Q1/1003,103806,Fonaments d'Informàtica,"0BC6D43C6E4515E36D3A9BC18D199348, 4100905CF2B2A67766F8CA312A578E7B, 58BEF05FD2078FC1F12E92D1423B5BE7, 7016337CEBFEF9044CBDC2AE88C66B68, 82BF128D2047056417807AFE22F00EA6, 8FC6C55E1286828EF424CF6E4F4325A3, 97B1AC47339018A3E432D8880091F22D, AA008BCCC99ED39B3EB01A0A1D8A5559, B2FB3326965A4085191111AB6DCA950E, C055F018122DB9509A99350F147C7603, C4E840D842F1220A545C5B1C34AA64DA"
09/09/2024,08:30,09/09/2024,10:30,Q4/1003,105075,Internet de les Coses,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,08:30,09/09/2024,10:30,Q2/1005,103805,Fonaments d'Enginyeria,"576F6A8421FE2033AFC59CB3CA140F75, 6E056F2C84928F878649E23C352201AB, 907290E557C616B6825E60D4044A6091, C055F018122DB9509A99350F147C7603"
09/09/2024,09:30,09/09/2024,10:30,Q4/1005,103801,Àlgebra,"0EA29688D6B65B08A71583C223402CE6, 2999CEB2D47E9E9201A6D45C24F64C1F, AA472730F49E03D8105C30042F72E4B4, E3DEF7A6276F2F8A8BC22FF7B41D7389, F0489BA0BFDCCEB489EC1273F9F7B7A4"
09/09/2024,09:30,09/09/2024,10:30,Q3/0009,102747,Sistemes Operatius,"0BC6D43C6E4515E36D3A9BC18D199348, 29E260D962D72BDE59E0DA78B6ED7F4C, 2F8A5498F7265EBFBF583DCB7F5D7A5A, 45D29CFE7691F1716B350B956B6C4EFD, 9350A3ED9834634A75E75CE346131524, AA008BCCC99ED39B3EB01A0A1D8A5559"
09/09/2024,10:30,09/09/2024,11:30,Q4/1003,102786,"Coneixement, Raonament i Incertesa","0F7B23C6567B13DE49F5CFDC5FF99D62, 4931B7BF8E3ADE7753988E44DE572F60, C7DFFF41298EECCEAEFABA0913A4EBBA"
09/09/2024,10:30,09/09/2024,11:30,Q1/1007,103801,Àlgebra,"0EA29688D6B65B08A71583C223402CE6, 2999CEB2D47E9E9201A6D45C24F64C1F, AA472730F49E03D8105C30042F72E4B4, E3DEF7A6276F2F8A8BC22FF7B41D7389, F0489BA0BFDCCEB489EC1273F9F7B7A4"
09/09/2024,10:30,09/09/2024,11:30,Q4/1005,105075,Internet de les Coses,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,10:30,09/09/2024,11:30,Q3/0009,102747,Sistemes Operatius,"0BC6D43C6E4515E36D3A9BC18D199348, 29E260D962D72BDE59E0DA78B6ED7F4C, 2F8A5498F7265EBFBF583DCB7F5D7A5A, 45D29CFE7691F1716B350B956B6C4EFD, 9350A3ED9834634A75E75CE346131524, AA008BCCC99ED39B3EB01A0A1D8A5559"
09/09/2024,10:30,09/09/2024,11:30,Q4/1013,102787,Aprenentatge Computacional,"34210F43B30A6631D913F704DA7BD37E, 49A065AE903286209F465D908144E9DD"
09/09/2024,10:30,09/09/2024,12:30,Q2/1003,103805,Fonaments d'Enginyeria,"576F6A8421FE2033AFC59CB3CA140F75, 6E056F2C84928F878649E23C352201AB, 907290E557C616B6825E60D4044A6091, C055F018122DB9509A99350F147C7603"
09/09/2024,10:30,09/09/2024,12:30,Q1/1003,103806,Fonaments d'Informàtica,"0BC6D43C6E4515E36D3A9BC18D199348, 4100905CF2B2A67766F8CA312A578E7B, 58BEF05FD2078FC1F12E92D1423B5BE7, 7016337CEBFEF9044CBDC2AE88C66B68, 82BF128D2047056417807AFE22F00EA6, 8FC6C55E1286828EF424CF6E4F4325A3, 97B1AC47339018A3E432D8880091F22D, AA008BCCC99ED39B3EB01A0A1D8A5559, B2FB3326965A4085191111AB6DCA950E, C055F018122DB9509A99350F147C7603, C4E840D842F1220A545C5B1C34AA64DA"
09/09/2024,10:30,09/09/2024,12:30,Q4/0007,102742,Tecnologies de Desenvolupament per a Internet i web,"267225E9993F8DE055B22122585EBF7B, 8D6D31442F1CA20D7E741B948948150E, 9D34A094ECDE83BFBADDF8090A6F57FD, AF8370971AD8F7EB19E92D3CEECEC960, BA39122A95C5D521185AC9A2F4AEFC2F, F18E24B875269B95455EC1BE0A0F6584"
09/09/2024,10:30,09/09/2024,12:30,Q1/0019,102744,Bases de Dades,"15DBB0DCB8B0AC5A43CB2351EF0D30E2, 57BEA5C8ACB66B4141E49FDA6DD1C5CA, DF7B5345352BA180BF61228EE58D40A6, F8048FAC833229318DB6870540F23B7B"
09/09/2024,10:30,09/09/2024,12:30,Q2/1005,102744,Bases de Dades,"15DBB0DCB8B0AC5A43CB2351EF0D30E2, 57BEA5C8ACB66B4141E49FDA6DD1C5CA, DF7B5345352BA180BF61228EE58D40A6, F8048FAC833229318DB6870540F23B7B"
09/09/2024,11:30,09/09/2024,12:30,Q4/1005,105075,Internet de les Coses,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,11:30,09/09/2024,12:30,Q4/1013,102786,"Coneixement, Raonament i Incertesa","0F7B23C6567B13DE49F5CFDC5FF99D62, 4931B7BF8E3ADE7753988E44DE572F60, C7DFFF41298EECCEAEFABA0913A4EBBA"
09/09/2024,11:30,09/09/2024,12:30,Q3/0009,102747,Sistemes Operatius,"0BC6D43C6E4515E36D3A9BC18D199348, 29E260D962D72BDE59E0DA78B6ED7F4C, 2F8A5498F7265EBFBF583DCB7F5D7A5A, 45D29CFE7691F1716B350B956B6C4EFD, 9350A3ED9834634A75E75CE346131524, AA008BCCC99ED39B3EB01A0A1D8A5559"
