Estudi,Curs acadèmic,Id Anonim,Sexe,Nombre Abandonaments Universitat,Nombre Abandonaments Universitat Reals,Nombre Abandonaments Universitat Reals criteri 1 any,Nombre Abandonaments Universitat Reals 1r any criteri 1 any
Graduat en Enginyeria Informàtica,2020/21,1DFB71F2B000D1421808D0B3F67B335E,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,FDB1556ADB28E0EEBEAF6A12FD41550E,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,1E6AED16F77D8A3000FD2934E18B79FE,Dona,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,14429DA68300DB93BF88B1472E141F58,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,8847C289026C0C7BA98D7285BDD7774C,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,D51586C963D21104EC43A380A5F9E3F0,Dona,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,A431EE1E9FDDE31AA6BB4C2CF6826D81,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,1A40BB445F54912551C936D971E51C53,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,C76AEC98610D4124F3750A865602E2DA,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,F2CA8C299173ACC38C85C7AC534946B5,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,5E3B92CD6D15BADBF18B406EE34EEDD8,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,1908557E91E97917D9F86E5847E5C9E3,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,CC8B44651359829D42580C8B4706B957,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,CD7A749B58DD0F9C7BBB8F5C90A4221D,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,DE0DA465E3A2295742A6A3A142456943,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,E372524CBD8A3D260EE40958FC5170EB,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,E20735E406F1EF007C53921167A7046C,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,0AD1BE7889E86EBA6E41C5B8B878E581,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,751545569190F565280E1171897710FE,Home,1 ,1 ,1 ,0 
Graduat en Enginyeria Informàtica,2020/21,AFA90F671E503E296D7E25978AAD5D08,Home,1 ,1 ,1 ,1 
Graduat en Enginyeria Informàtica,2020/21,E9829A1BC5332B1B31BB04A686D1185C,Home,1 ,0 ,0 ,0 
