CODI_IND,Assignatura,GRUP,codi assignatura,Curs,Titulació,Sexe Docent,Campus,Horari,TIPOLOGIA,Matrícules-Assignatura,MH,EX,NOT,AP,SUS,NP,Taxa de rendiment,Taxa d'èxit,Taxa_exc,S11,S12,S13,S14,S15,PS1,SS1,S21,S22,S23,S24,S25,PS2,SS2,S31,S32,S33,S34,S35,PS3,SS3,S41,S42,S43,S44,S45,PS4,SS4,Num_sessions,PAS1,PAS2,PAS3,PAS4,PASTOT,PAB1,PAB2,PAB3,PAB4,PABTOT
1063972,Anàlisi i Avaluació dels Estats Comptables,2,106397,3,ADE,F,Bellaterra,mati,1,55,1,0,9,30,13,0,0.727,0.727,0.182,,,,30,,30,1,,30,,30,,30,2,,,,31,,31,1,,,,27,,27,1,5,0.545,0.545,0.564,0.491,0.536,0.455,0.455,0.436,0.509,0.464
1063974,Anàlisi i Avaluació dels Estats Comptables,4,106397,3,ADE anglés,F,Bellaterra,mati,1,114,2,3,34,60,9,1,0.868,0.876,0.342,,,,71,,71,1,,,,,,,0,,51,,40,,45.5,2,,,,28,,28,1,4,0.623,,0.399,0.246,0.423,0.377,,0.601,0.754,0.577
10639752,Anàlisi i Avaluació dels Estats Comptables,52,106397,3,ADE,F,Bellaterra,tarda,1,55,0,0,14,33,3,4,0.855,0.922,0.255,,,,26,,26,1,,28,,21,,24.5,2,,,,,,,0,,,,,,,0,3,0.473,0.445,,,0.459,0.527,0.555,,,0.541
10639760,Anàlisi i Avaluació dels Estats Comptables,60,106397,3,ADE+Dret,F,Bellaterra,mati,1,72,3,0,26,38,4,1,0.931,0.944,0.403,41,,,,,41,1,30,,,,,30,1,25,,42,,,33.5,2,15,,,,,15,1,5,0.569,0.417,0.465,0.208,0.415,0.431,0.583,0.535,0.792,0.585
10219620,Comptabilitat bàsica,20,102196,1,EIT,M,Sabadell,mati,1,96,2,0,24,52,14,4,0.813,0.848,0.271,,69,,,,69,1,,71,,,65,68,2,,46,,,72,59,2,,56,,,65,60.5,2,7,0.719,0.708,0.615,0.63,0.668,0.281,0.292,0.385,0.37,0.332
10212810,Comptabilitat financera I,10,102128,1,CIF,M,Sabadell,mati,1,110,0,0,17,47,36,10,0.582,0.64,0.155,,80,,,,80,1,,,,,,,0,,65,,,,65,1,,,,,,,0,2,0.727,,0.591,,0.659,0.273,,0.409,,0.341
10212850,Comptabilitat financera I,50,102128,1,CIF,M,Sabadell,tarda,1,81,1,1,12,27,30,10,0.506,0.577,0.173,,55,,,,55,1,,,,,,,0,,41,,,,41,1,,32,,,,32,1,3,0.679,,0.506,0.395,0.527,0.321,,0.494,0.605,0.473
1023712,Comptabilitat financera,2,102371,3,ADE,F,Bellaterra,mati,1,87,3,13,42,22,3,3,0.92,0.952,0.667,,,,,69,69,1,,,,,39,39,1,74,,,,,74,1,,,,,,,0,3,0.793,0.448,0.851,,0.697,0.207,0.552,0.149,,0.303
1023714,Comptabilitat financera,4,102371,2,ADE anglés,F,Bellaterra,mati,1,65,1,0,22,34,4,4,0.877,0.934,0.354,,,,,39,39,1,,,,,44,44,1,41,,,,29,35,2,,,,,15,15,1,5,0.6,0.677,0.538,0.231,0.512,0.4,0.323,0.462,0.769,0.488
10237152,Comptabilitat Financera,52,102371,3,ADE,F,Bellaterra,tarda,1,67,1,0,23,29,9,5,0.791,0.855,0.358,,,,,,,0,,,,,,,0,32,,,,,32,1,31,,,,30,30.5,2,3,,,0.478,0.455,0.466,,,0.522,0.545,0.534
10237160,Comptabilitat financera,60,102371,2,ADE+Dret,M,Bellaterra,mati,1,66,1,4,16,33,9,3,0.818,0.857,0.318,40,,,,,40,1,26,,,,,26,1,13,,,,,13,1,38,,,,,38,1,4,0.606,0.394,0.197,0.576,0.443,0.394,0.606,0.803,0.424,0.557
10576910,Control de gestió,10,105769,3,CIF,F,Sabadell,mati,0,70,1,2,5,32,25,1,0.571,0.58,0.114,,,,,61,61,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.871,,,,0.871,0.129,,,,0.129
10576950,Control de gestió,50,105769,3,CIF,M,Sabadell,tarda,0,48,0,0,14,18,14,0,0.667,0.667,0.292,,,,,34,34,1,,,,,,,0,,,19,,16,17.5,2,,,,,,,0,3,0.708,,0.365,,0.536,0.292,,0.635,,0.464
10467860,Direcció de màrqueting,60,104678,3,ADE+Dret,M,Bellaterra,mati,0,84,5,6,67,4,0,2,0.976,1,0.929,54,,,,,54,1,38,,,,,38,1,18,,,,,18,1,54,,,,,54,1,4,0.643,0.452,0.214,0.643,0.488,0.357,0.548,0.786,0.357,0.512
10212910,Direcció de recursos humans,10,102129,2,CIF,M,Sabadell,mati,0,67,2,1,22,37,1,4,0.925,0.984,0.373,,,,,46,46,1,,,,,,,0,,,45,,,45,1,,,,,,,0,2,0.687,,0.672,,0.679,0.313,,0.328,,0.321
10212950,Direcció de recursos humans,50,102129,2,CIF,M,Sabadell,tarda,0,36,0,5,10,15,3,3,0.833,0.909,0.417,,,,,20,20,1,,,,,,,0,,,19,,,19,1,,,,,,,0,2,0.556,,0.528,,0.542,0.444,,0.472,,0.458
10209410,Direcció d'operacions,10,102094,3,CIF,M,Sabadell,mati,1,72,0,1,17,48,6,0,0.917,0.917,0.25,40,,,,,40,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.556,,,,0.556,0.444,,,,0.444
1046772,Direcció d'operacions,2,104677,3,ADE,M,Bellaterra,mati,1,49,0,2,11,29,3,3,0.857,0.913,0.265,,,28,,,28,1,,,21,,,21,1,,,23,,,23,1,,,,,,,0,3,0.571,0.429,0.469,,0.49,0.429,0.571,0.531,,0.51
1046774,Direcció d'operacions,4,104677,3,ADE anglés,M,Bellaterra,mati,1,95,0,1,10,56,21,0,0.705,0.705,0.116,,,39,,,39,1,,,36,,,36,1,,,32,,,32,1,,,32,,,32,1,4,0.411,0.379,0.337,0.337,0.366,0.589,0.621,0.663,0.663,0.634
10209450,Direcció d'operacions,50,102094,3,CIF,M,Sabadell,tarda,1,41,2,0,9,19,4,6,0.732,0.857,0.268,26,,,,,26,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.634,,,,0.634,0.366,,,,0.366
10467752,Direcció d'operacions,52,104677,3,ADE,M,Bellaterra,tarda,1,57,0,0,2,35,14,2,0.649,0.673,0.035,,,34,,,34,1,,,27,,,27,1,,,26,,,26,1,,,22,,,22,1,4,0.596,0.474,0.456,0.386,0.478,0.404,0.526,0.544,0.614,0.522
10467760,Direcció d'operacions,60,104677,3,ADE+Dret,M,Bellaterra,mati,1,76,1,0,26,44,5,0,0.934,0.934,0.355,,62,,,,62,1,,48,,,,48,1,,26,,,,26,1,,36,,,,36,1,4,0.816,0.632,0.342,0.474,0.566,0.184,0.368,0.658,0.526,0.434
1023622,Direcció Estratègica II,2,102362,3,ADE,M,Bellaterra,mati,0,38,0,0,12,21,3,2,0.868,0.917,0.316,,,,,24,24,1,23,,,,15,19,2,,,,,23,23,1,32,,,,32,32,2,6,0.632,0.5,0.605,0.842,0.645,0.368,0.5,0.395,0.158,0.355
1023624,Direcció estratègica II,4,102362,3,ADE anglés,M,Bellaterra,mati,0,92,0,1,8,53,25,3,0.674,0.697,0.098,,,,,64,64,1,45,,,,63,54,2,60,,,,,60,1,47,,,,67,57,2,6,0.696,0.587,0.652,0.62,0.639,0.304,0.413,0.348,0.38,0.361
10236252,Direcció Estratègica II,52,102362,3,ADE,M,Bellaterra,tarda,0,49,0,0,9,36,1,2,0.918,0.957,0.184,,,,,38,38,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.776,,,,0.776,0.224,,,,0.224
10236260,Direcció estratègica II,60,102362,3,ADE+Dret,M,Bellaterra,mati,0,75,3,5,51,16,0,0,1,1,0.787,,,,,55,55,1,,,,,42,42,1,,,,,,,0,,,,,,,0,2,0.733,0.56,,,0.647,0.267,0.44,,,0.353
10214010,Dret Mercantil,10,102140,2,CIF,M,Sabadell,mati,0,62,0,3,53,6,0,0,1,1,0.903,37,,,,,37,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.597,,,,0.597,0.403,,,,0.403
10214050,Dret Mercantil,50,102140,2,CIF,M,Sabadell,tarda,0,36,0,0,11,21,1,3,0.889,0.97,0.306,25,,,,,25,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.694,,,,0.694,0.306,,,,0.306
