id_anonim,assignatura,predicted_nota_assignatura,nota_assignatura,alerta
0f45e92fec9ab96236dc5ad7f96713e2,Organització i gestió d'empreses,4.656194428051266,5.0, Posible suspenso en 'Organització i gestió d'empreses' (Predicho: 4.66)
F4537a70eeeafbae2094f3ad4a203f24,Anglès professional i,6.636198586704263,8.7," Alta diferencia entre real y predicho en 'Anglès professional i' (Predicho: 6.64, Real: 8.70)"
3cb18b97ef73da586e4a041bb449c613,Electricitat i electrònica,4.871684132885466,4.4, Posible suspenso en 'Electricitat i electrònica' (Predicho: 4.87)
3cb18b97ef73da586e4a041bb449c613,Fonaments dels computadors,4.871684132885466,3.4, Posible suspenso en 'Fonaments dels computadors' (Predicho: 4.87)
3cb18b97ef73da586e4a041bb449c613,Matemàtica discreta,4.775357102430551,2.1, Posible suspenso en 'Matemàtica discreta' (Predicho: 4.78)
3cb18b97ef73da586e4a041bb449c613,Metodologia de la programació,4.844956825902567,3.1, Posible suspenso en 'Metodologia de la programació' (Predicho: 4.84)
3cb18b97ef73da586e4a041bb449c613,Organització i gestió d'empreses,3.0977260051666122,4.0, Posible suspenso en 'Organització i gestió d'empreses' (Predicho: 3.10)
321e5edecb9d55535bc2682e66d4d29a,Gestió del desenvolupament de software,6.734562661207935,8.9," Alta diferencia entre real y predicho en 'Gestió del desenvolupament de software' (Predicho: 6.73, Real: 8.90)"
321e5edecb9d55535bc2682e66d4d29a,Tecnologies de desenvolupament per a internet i web,6.704771743553608,4.5," Alta diferencia entre real y predicho en 'Tecnologies de desenvolupament per a internet i web' (Predicho: 6.70, Real: 4.50)"
9068ec5acfd7d29277c3c4a84c4392f7,Anàlisi i disseny d'algorismes,6.561801509517763,0.0," Alta diferencia entre real y predicho en 'Anàlisi i disseny d'algorismes' (Predicho: 6.56, Real: 0.00)"
3e72f5ae675dc9c9d1ab6e3345192322,Tendències actuals,6.1815997875858715,0.0," Alta diferencia entre real y predicho en 'Tendències actuals' (Predicho: 6.18, Real: 0.00)"
96b5ea114a86a71750df7a718c474714,Enginyeria del software,5.555253710562636,7.9," Alta diferencia entre real y predicho en 'Enginyeria del software' (Predicho: 5.56, Real: 7.90)"
96b5ea114a86a71750df7a718c474714,Xarxes,5.217360929671355,2.4," Alta diferencia entre real y predicho en 'Xarxes' (Predicho: 5.22, Real: 2.40)"
Fba8338bd3556fb747ce2877ce3729dc,Bases de dades,6.152857187024675,9.0," Alta diferencia entre real y predicho en 'Bases de dades' (Predicho: 6.15, Real: 9.00)"
Fba8338bd3556fb747ce2877ce3729dc,Càlcul,6.085515842626058,9.0," Alta diferencia entre real y predicho en 'Càlcul' (Predicho: 6.09, Real: 9.00)"
Fba8338bd3556fb747ce2877ce3729dc,Organització i gestió d'empreses,5.810057708534923,8.1," Alta diferencia entre real y predicho en 'Organització i gestió d'empreses' (Predicho: 5.81, Real: 8.10)"
