start date,start time,end date,end time,unk,class Id,Estudi,Codi_Ass + Assignatura,grup matricula,Codi_Ass,Id Anònim PD
09/09/2024,08:30,09/09/2024,10:30,2,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,39,102753,94460EBE3289387A86D97B4AA8EA6263
09/09/2024,08:30,09/09/2024,10:30,2,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 410,82,102742,9D34A094ECDE83BFBADDF8090A6F57FD
09/09/2024,08:30,09/09/2024,10:30,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 431,42,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,08:30,09/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 450,99,102773,34A699C964A740FCA3E768F3C9CEB5EF
09/09/2024,08:30,09/09/2024,10:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 41,68,103806,97B1AC47339018A3E432D8880091F22D
09/09/2024,08:30,09/09/2024,10:30, ,Q4/1003,10062 Enginyeria Informàtica,105075 Internet de les Coses - 410,38,105075,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,08:30,09/09/2024,10:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 431,34,103805,6E056F2C84928F878649E23C352201AB
09/09/2024,09:30,09/09/2024,10:30,1,Q4/1005,10062 Enginyeria Informàtica,103801 Àlgebra - 432,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,09:30,09/09/2024,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 432,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,10:30,09/09/2024,11:30, ,Q4/1003,10062 Enginyeria Informàtica,"102786 Coneixement, Raonament i Incertesa - 442",Sense grup de matricula,102786,4931B7BF8E3ADE7753988E44DE572F60
09/09/2024,10:30,09/09/2024,11:30, ,Q1/1007,10062 Enginyeria Informàtica,103801 Àlgebra - 411,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,10:30,09/09/2024,11:30, ,Q4/1005,10062 Enginyeria Informàtica,105075 Internet de les Coses - 411,Sense grup de matricula,105075,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,10:30,09/09/2024,11:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 431,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,10:30,09/09/2024,11:30,1,Q4/1013,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 441,Sense grup de matricula,102787,34210F43B30A6631D913F704DA7BD37E
09/09/2024,10:30,09/09/2024,12:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 412,38,103805,6E056F2C84928F878649E23C352201AB
09/09/2024,10:30,09/09/2024,12:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 43,70,103806,97B1AC47339018A3E432D8880091F22D
09/09/2024,10:30,09/09/2024,12:30, ,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 415,81,102742,9D34A094ECDE83BFBADDF8090A6F57FD
09/09/2024,10:30,09/09/2024,12:30, ,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 432,35,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,10:30,09/09/2024,12:30, ,Q2/1005,10062 Enginyeria Informàtica,102744 Bases de Dades - 411,41,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,11:30,09/09/2024,12:30,1,Q4/1005,10062 Enginyeria Informàtica,105075 Internet de les Coses - 412,Sense grup de matricula,105075,9F42511737ECEB930E5F4DAF7893C427
09/09/2024,11:30,09/09/2024,12:30, ,Q4/1013,10062 Enginyeria Informàtica,"102786 Coneixement, Raonament i Incertesa - 441",Sense grup de matricula,102786,4931B7BF8E3ADE7753988E44DE572F60
09/09/2024,11:30,09/09/2024,12:30, ,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 412,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,11:30,09/09/2024,12:30,1,Q4/1003,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 442,Sense grup de matricula,102787,34210F43B30A6631D913F704DA7BD37E
09/09/2024,12:30,09/09/2024,13:30, ,Q2/1013,10062 Enginyeria Informàtica,103801 Àlgebra - 431,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,12:30,09/09/2024,13:30, ,Q3/0013,10062 Enginyeria Informàtica,103801 Àlgebra - 412,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,12:30,09/09/2024,13:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 411,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,12:30,09/09/2024,14:30,2,QC/0011,10062 Enginyeria Informàtica,105072 Tecnologia Blockchain i Criptomonedes - 450,20,105072,B56A5A98C89071B56B328E4FA51CB9F9
09/09/2024,12:30,09/09/2024,14:30, ,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 441,37,102753,94460EBE3289387A86D97B4AA8EA6263
09/09/2024,12:30,09/09/2024,14:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 411,40,103805,6E056F2C84928F878649E23C352201AB
09/09/2024,12:30,09/09/2024,14:30,2,Q1/1003,10062 Enginyeria Informàtica,102763 Requisits del Software - 420,81,102763,11E3612FDA7917DA69180A56362AE0D3
09/09/2024,12:30,09/09/2024,14:30,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 412,28,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,12:30,09/09/2024,14:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 432,39,103805,6E056F2C84928F878649E23C352201AB
09/09/2024,15:00,09/09/2024,16:00,1,Q4/1013,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 453,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,15:00,09/09/2024,16:00, ,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 452,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,15:00,09/09/2024,17:00,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 451,42,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,15:00,09/09/2024,17:00, ,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 417,32,102742,9D34A094ECDE83BFBADDF8090A6F57FD
09/09/2024,15:00,09/09/2024,17:00, ,Q3/0003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 45,105,103806,97B1AC47339018A3E432D8880091F22D
09/09/2024,16:00,09/09/2024,18:00,2,Q1/0007,10062 Enginyeria Informàtica,102744 Bases de Dades - 452,29,102744,15DBB0DCB8B0AC5A43CB2351EF0D30E2
09/09/2024,17:00,09/09/2024,18:00, ,Q2/1003,10062 Enginyeria Informàtica,103801 Àlgebra - 452,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,17:00,09/09/2024,18:00, ,Q3/0003,10062 Enginyeria Informàtica,103801 Àlgebra - 451,Sense grup de matricula,103801,2999CEB2D47E9E9201A6D45C24F64C1F
09/09/2024,17:00,09/09/2024,18:00,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 451,Sense grup de matricula,102747,9350A3ED9834634A75E75CE346131524
09/09/2024,17:00,09/09/2024,19:00, ,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 419,84,102742,9D34A094ECDE83BFBADDF8090A6F57FD
09/09/2024,18:00,09/09/2024,20:00,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 451,50,103805,6E056F2C84928F878649E23C352201AB
10/09/2024,08:30,10/09/2024,09:30,1,Q3/0009,10062 Enginyeria Informàtica,103803 Estadística - 411,Sense grup de matricula,103803,D8E98339DF24F5EE9599304E2985D448
10/09/2024,08:30,10/09/2024,09:30,1,Q2/1003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 412,32,102774,2240D0FE1EADEB062A804BE07582B3DD
10/09/2024,08:30,10/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 450,108,102752,A904791726EE49E8F7BA3D4641A00693
10/09/2024,08:30,10/09/2024,10:30,2,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 41,74,102771,8848243A742218BDD516D5C9DD88129F
10/09/2024,08:30,10/09/2024,10:30,2,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 431,38,102767,7CEA091A052DFBBA6D425134C9EE1E07
10/09/2024,08:30,10/09/2024,10:30, ,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 432,39,102767,7CEA091A052DFBBA6D425134C9EE1E07
10/09/2024,09:30,10/09/2024,10:30,1,Q2/1003,10062 Enginyeria Informàtica,103803 Estadística - 412,Sense grup de matricula,103803,D8E98339DF24F5EE9599304E2985D448
10/09/2024,09:30,10/09/2024,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 411,33,102774,2240D0FE1EADEB062A804BE07582B3DD
10/09/2024,10:30,10/09/2024,11:30,1,Q2/1003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 432,37,102774,2240D0FE1EADEB062A804BE07582B3DD
10/09/2024,10:30,10/09/2024,11:30, ,Q2/1005,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 421,Sense grup de matricula,102758,F728DE606E3EC59EF3F99DA96C3CE788
10/09/2024,10:30,10/09/2024,11:30, ,Q3/0013,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 451,Sense grup de matricula,102740,715B520CE71E9F861B2F84ACA14BBFFC
10/09/2024,10:30,10/09/2024,11:30,1,Q3/0009,10062 Enginyeria Informàtica,103803 Estadística - 431,Sense grup de matricula,103803,D8E98339DF24F5EE9599304E2985D448
10/09/2024,10:30,10/09/2024,12:30, ,Q4/1003,10062 Enginyeria Informàtica,102776 Gestió i Administració de Xarxes - 430,42,102776,247B4A60BD08DB83BF66C5DAAC2EED07
10/09/2024,10:30,10/09/2024,12:30,2,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 43,74,102771,8848243A742218BDD516D5C9DD88129F
10/09/2024,10:30,10/09/2024,12:30, ,Q1/1007,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 440,76,102787,34210F43B30A6631D913F704DA7BD37E
10/09/2024,10:30,10/09/2024,12:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 411,36,102767,7CEA091A052DFBBA6D425134C9EE1E07
10/09/2024,10:30,10/09/2024,12:30,2,Q4/1009,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 413,16,102767,7CEA091A052DFBBA6D425134C9EE1E07
10/09/2024,11:30,10/09/2024,12:30,1,Q2/1003,10062 Enginyeria Informàtica,103803 Estadística - 432,Sense grup de matricula,103803,D8E98339DF24F5EE9599304E2985D448
10/09/2024,11:30,10/09/2024,12:30, ,Q3/0013,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 452,Sense grup de matricula,102740,715B520CE71E9F861B2F84ACA14BBFFC
10/09/2024,11:30,10/09/2024,12:30, ,Q2/1005,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 422,Sense grup de matricula,102758,F728DE606E3EC59EF3F99DA96C3CE788
10/09/2024,11:30,10/09/2024,12:30,1,Q3/0009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 431,38,102774,2240D0FE1EADEB062A804BE07582B3DD
10/09/2024,12:30,10/09/2024,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 412,36,102767,7CEA091A052DFBBA6D425134C9EE1E07
